=== E1-E4 cost projection (upper bound, live pricing) ===
{
  "per_pop_usd": {
    "e1_squeeze": 0.77,
    "e1_squeeze_mem": 0.77,
    "e1_noisy": 0.77,
    "e3_squeeze": 0.75,
    "e2_dialogue": 1.37,
    "e2_think": 1.58,
    "e4_think": 1.04
  },
  "total_upper_bound_usd": 201.86
}
done e1_squeeze p3: {'done': True, 't': 492}
done e1_squeeze p1: {'done': True, 't': 492}
done e1_squeeze p2: {'done': True, 't': 492}
done e1_squeeze p0: {'done': True, 't': 492}
done e1_squeeze p5: {'done': True, 't': 492}
done e1_squeeze p4: {'done': True, 't': 492}
done e1_squeeze p7: {'done': True, 't': 492}
done e1_squeeze p9: {'done': True, 't': 492}
done e1_squeeze p6: {'done': True, 't': 492}done e1_squeeze p8: {'done': True, 't': 492}

done e1_squeeze p10: {'done': True, 't': 492}
done e1_squeeze p11: {'done': True, 't': 492}
done e1_squeeze p12: {'done': True, 't': 492}
done e1_squeeze p15: {'done': True, 't': 492}
done e1_squeeze p14: {'done': True, 't': 492}
done e1_squeeze p13: {'done': True, 't': 492}
done e1_squeeze p16: {'done': True, 't': 492}
done e1_squeeze p17: {'done': True, 't': 492}
done e1_squeeze p18: {'done': True, 't': 492}
done e1_squeeze p19: {'done': True, 't': 492}
done e1_squeeze p20: {'done': True, 't': 492}
done e1_squeeze p21: {'done': True, 't': 492}
done e1_squeeze p23: {'done': True, 't': 492}
done e1_squeeze p22: {'done': True, 't': 492}
done e1_squeeze p25: {'done': True, 't': 492}
done e1_squeeze p24: {'done': True, 't': 492}
done e1_squeeze p26: {'done': True, 't': 492}
done e1_squeeze p27: {'done': True, 't': 492}
done e1_squeeze p28: {'done': True, 't': 492}
done e1_squeeze p29: {'done': True, 't': 492}
done e1_squeeze p32: {'done': True, 't': 492}
done e1_squeeze p31: {'done': True, 't': 492}
done e1_squeeze p30: {'done': True, 't': 492}
done e1_squeeze p33: {'done': True, 't': 492}
done e1_squeeze p34: {'done': True, 't': 492}
done e1_squeeze p35: {'done': True, 't': 492}
done e1_squeeze p36: {'done': True, 't': 492}
done e1_squeeze p37: {'done': True, 't': 492}
done e1_squeeze p39: {'done': True, 't': 492}
done e1_squeeze p38: {'done': True, 't': 492}
done e1_squeeze_mem p0: {'done': True, 't': 492}
done e1_squeeze_mem p1: {'done': True, 't': 492}
done e1_squeeze_mem p2: {'done': True, 't': 492}
done e1_squeeze_mem p3: {'done': True, 't': 492}
done e1_squeeze_mem p4: {'done': True, 't': 492}
done e1_squeeze_mem p5: {'done': True, 't': 492}
done e1_squeeze_mem p6: {'done': True, 't': 492}
done e1_squeeze_mem p7: {'done': True, 't': 492}
done e1_squeeze_mem p9: {'done': True, 't': 492}
done e1_squeeze_mem p8: {'done': True, 't': 492}
done e1_squeeze_mem p10: {'done': True, 't': 492}
done e1_squeeze_mem p11: {'done': True, 't': 492}
done e1_squeeze_mem p12: {'done': True, 't': 492}
done e1_squeeze_mem p13: {'done': True, 't': 492}
done e1_squeeze_mem p14: {'done': True, 't': 492}
done e1_squeeze_mem p15: {'done': True, 't': 492}
done e1_squeeze_mem p16: {'done': True, 't': 492}
done e1_squeeze_mem p18: {'done': True, 't': 492}
done e1_squeeze_mem p17: {'done': True, 't': 492}
done e1_squeeze_mem p19: {'done': True, 't': 492}
done e1_squeeze_mem p20: {'done': True, 't': 492}
done e1_squeeze_mem p21: {'done': True, 't': 492}
done e1_squeeze_mem p22: {'done': True, 't': 492}
done e1_squeeze_mem p23: {'done': True, 't': 492}
done e1_squeeze_mem p24: {'done': True, 't': 492}
done e1_squeeze_mem p25: {'done': True, 't': 492}
done e1_squeeze_mem p26: {'done': True, 't': 492}
done e1_squeeze_mem p27: {'done': True, 't': 492}
done e1_squeeze_mem p29: {'done': True, 't': 492}
done e1_squeeze_mem p28: {'done': True, 't': 492}
done e1_squeeze_mem p30: {'done': True, 't': 492}
done e1_squeeze_mem p31: {'done': True, 't': 492}
done e1_squeeze_mem p32: {'done': True, 't': 492}
done e1_squeeze_mem p33: {'done': True, 't': 492}
done e1_squeeze_mem p35: {'done': True, 't': 492}
done e1_squeeze_mem p34: {'done': True, 't': 492}
done e1_squeeze_mem p36: {'done': True, 't': 492}
done e1_squeeze_mem p37: {'done': True, 't': 492}
done e1_squeeze_mem p38: {'done': True, 't': 492}
done e1_squeeze_mem p39: {'done': True, 't': 492}
done e1_noisy p0: {'done': True, 't': 492}
done e1_noisy p1: {'done': True, 't': 492}
